,img_ids,sim,random_sims,img_random_sims,objects
36,6443.jpg,"[0.9501743912696838, 0.06582014262676239]","[0.9501743912696838, 0.06582014262676239]",False,"['hair', 'wall', 'wall', 'girl', 'wall', 'girl', 'hair', 'arm', 'wall', 'sign', 'dress', 'sign']"
37,5344.jpg,"[0.6704930067062378, 0.3347824215888977]","[0.6704930067062378, 0.3347824215888977]",False,"['dog', 'dog', 'dog', 'eye', 'mouth', 'statue', 'face']"
38,8381.jpg,"[0.6656163930892944, 0.3571358919143677]","[0.8682305812835693, 0.1657535582780838]",True,"['man', 'man', 'glove', 'watch', 'shirt', 'hair', 'man', 'man']"
39,6231.jpg,"[0.8378633856773376, 0.2155187726020813]","[0.5595200061798096, 0.4582458436489105]",True,"['building', 'tree', 'sign', 'tree', 'sign', 'sign', 'building', 'tree', 'letter', 'tree', 'sign']"
40,5176.jpg,"[0.7805210947990417, 0.2637426555156708]","[0.7805210947990417, 0.2637426555156708]",False,"['sign', 'man', 'bus', 'jeans', 'arm']"
41,1540.jpg,"[0.7258355617523193, 0.27176350355148315]","[0.7258355617523193, 0.27176350355148315]",False,"['strap', 'strap', 'hair', 'strap', 'strap', 'strap']"
42,4874.jpg,"[0.7925616502761841, 0.23225677013397217]","[0.6738544702529907, 0.2959960401058197]",True,"['pillow', 'man', 'man', 'flag', 'tie', 'balloon', 'balloon']"
43,10894.jpg,"[0.8176761269569397, 0.1801726520061493]","[0.8186625838279724, 0.22427955269813538]",True,"['building', 'man', 'writing', 'tree', 'man', 'sign']"
44,2351.jpg,"[0.6106893420219421, 0.39792802929878235]","[0.6106893420219421, 0.39792802929878235]",False,"['eye', 'eye']"
45,1652.jpg,"[0.8939775824546814, 0.10474301129579544]","[0.8939775824546814, 0.10474301129579544]",False,"['window', 'light', 'building', 'man']"
46,6342.jpg,"[0.7627946138381958, 0.2943485379219055]","[0.7627946138381958, 0.2943485379219055]",False,"['eye', 'eyes', 'eyes', 'face', 'eyes', 'sign', 'woman', 'woman', 'woman', 'jacket', 'sign', 'jacket']"
47,5502.jpg,"[0.432452529668808, 0.5393022298812866]","[0.432452529668808, 0.5393022298812866]",False,"['face', 'eye', 'sign', 'dog']"
48,2399.jpg,"[0.7398277521133423, 0.27021923661231995]","[0.7398277521133423, 0.27021923661231995]",False,"['hair', 'head', 'sign']"
49,13102.jpg,"[0.6281902194023132, 0.3915005922317505]","[0.6281902194023132, 0.3915005922317505]",False,"['woman', 'hat', 'woman', 'fence', 'jacket', 'woman', 'woman']"
50,388.jpg,"[0.6726847887039185, 0.33285796642303467]","[0.8060457706451416, 0.20972992479801178]",True,['logo']
51,7756.jpg,"[0.8851792216300964, 0.1252342164516449]","[0.6488557457923889, 0.3554048240184784]",True,[]
52,6324.jpg,"[0.7579654455184937, 0.30767956376075745]","[0.7579654455184937, 0.30767956376075745]",False,"['hair', 'wall', 'letter', 'sign', 'wall', 'wall', 'wall', 'baby', 'wall', 'bib', 'wall', 'wall', 'bib', 'wall']"
53,9704.jpg,"[0.615332305431366, 0.46244439482688904]","[0.615332305431366, 0.46244439482688904]",False,"['hair', 'hair', 'man', 'man', 'man', 'man', 'face', 'man']"
54,1944.jpg,"[0.49917513132095337, 0.49160337448120117]","[0.7309685349464417, 0.2503465414047241]",True,"['wall', 'sign']"
55,3719.jpg,"[0.8023789525032043, 0.19283129274845123]","[0.7331390380859375, 0.27446848154067993]",True,"['face', 'eye']"
56,3635.jpg,"[0.6799595952033997, 0.29630741477012634]","[0.639834463596344, 0.4388624429702759]",True,"['man', 'window', 'man', 'man', 'man', 'window', 'man']"
57,1373.jpg,"[0.5742295980453491, 0.5333232879638672]","[0.8339982032775879, 0.1938461810350418]",True,"['head', 'bird']"
58,11630.jpg,"[0.7417667508125305, 0.2763688862323761]","[0.8199890851974487, 0.19391898810863495]",True,"['light', 'computer']"
59,10075.jpg,"[0.8065529465675354, 0.22691455483436584]","[0.6357541084289551, 0.3918910026550293]",True,"['pillow', 'sign', 'head']"
60,7775.jpg,"[0.8059033751487732, 0.18377774953842163]","[0.8059033751487732, 0.18377774953842163]",False,"['dog', 'dog', 'dog']"
61,8988.jpg,"[0.9233461618423462, 0.08580546081066132]","[0.9233461618423462, 0.08580546081066132]",False,"['hair', 'wall', 'girl', 'wall', 'window', 'sign']"
62,11198.jpg,"[0.641547679901123, 0.3585250973701477]","[0.834035336971283, 0.14547395706176758]",True,"['chair', 'window', 'window', 'sign', 'sign']"
63,7184.jpg,"[0.7362679243087769, 0.23353928327560425]","[0.42138567566871643, 0.616549551486969]",True,"['eye', 'eye', 'head', 'sign']"
64,7765.jpg,"[0.5574794411659241, 0.5126354694366455]","[0.7030853033065796, 0.29487618803977966]",True,['sign']
65,2441.jpg,"[0.8779584169387817, 0.10879700630903244]","[0.726032555103302, 0.3073510229587555]",True,"['glove', 'kite', 'letter']"
66,2631.jpg,"[0.7411284446716309, 0.2946380078792572]","[0.8899441957473755, 0.11940561980009079]",True,"['eyes', 'face', 'face', 'frisbee', 'man', 'sticker', 'writing']"
67,8050.jpg,"[0.75462806224823, 0.22221224009990692]","[0.3531205654144287, 0.6290031671524048]",True,"['head', 'pants', 'writing']"
68,8195.jpg,"[0.8787259459495544, 0.15395785868167877]","[0.6879932880401611, 0.3255341947078705]",True,"['wall', 'sign', 'wall', 'bear', 'bear', 'bear', 'sign', 'wall']"
69,5899.jpg,"[0.5341153740882874, 0.48860716819763184]","[0.8791333436965942, 0.14815586805343628]",True,"['ear', 'remote']"
70,9455.jpg,"[0.8845674395561218, 0.11490223556756973]","[0.8845674395561218, 0.11490223556756973]",False,"['man', 'man', 'dog', 'man', 'man', 'sign', 'shirt', 'sign', 'man', 'man', 'sign']"
71,10612.jpg,"[0.6563833355903625, 0.4151945412158966]","[0.6563833355903625, 0.4151945412158966]",False,"['shirt', 'man', 'tree']"
72,924.jpg,"[0.7750149965286255, 0.28851616382598877]","[0.7121477723121643, 0.31492671370506287]",True,[]
73,7816.jpg,"[0.7265534400939941, 0.2903318703174591]","[0.6067705750465393, 0.4481481909751892]",True,"['man', 'woman', 'man', 'arm']"
74,6735.jpg,"[0.6619769930839539, 0.3390502631664276]","[0.7220268845558167, 0.3669107258319855]",True,"['pillow', 'eye', 'man', 'face', 'wall', 'building']"
75,7593.jpg,"[0.8127003312110901, 0.25878456234931946]","[0.7811262011528015, 0.2385762482881546]",True,"['mouth', 'sign', 'sign']"
76,1952.jpg,"[0.8024400472640991, 0.234427809715271]","[0.7906591296195984, 0.23751500248908997]",True,['bird']
77,5432.jpg,"[0.8208509087562561, 0.17756609618663788]","[0.6659060716629028, 0.3558318018913269]",True,"['jeans', 'woman', 'woman', 'woman', 'woman', 'hair']"
78,10265.jpg,"[0.7223573923110962, 0.31545811891555786]","[0.7223573923110962, 0.31545811891555786]",False,"['nose', 'bear', 'ear', 'nose', 'eye', 'paw', 'eye', 'eye', 'paw', 'paw', 'mouth', 'bear', 'bear', 'bear', 'paw', 'letters', 'letters']"
79,8377.jpg,"[0.5033433437347412, 0.525870680809021]","[0.5033433437347412, 0.525870680809021]",False,"['hair', 'man', 'sign', 'man', 'face', 'eye', 'building', 'sign', 'nose', 'mouth', 'eyes', 'table', 'window', 'building']"
80,73.jpg,"[0.838860809803009, 0.16668422520160675]","[0.838860809803009, 0.16668422520160675]",False,[]
81,7770.jpg,"[0.7376515865325928, 0.2753661274909973]","[0.7376515865325928, 0.2753661274909973]",False,"['head', 'man']"
82,702.jpg,"[0.9046066403388977, 0.09467100352048874]","[0.5883373022079468, 0.3798119127750397]",True,"['sign', 'tree', 'sign', 'sign', 'tree', 'stripe', 'sign', 'train', 'window']"
83,7876.jpg,"[0.7282293438911438, 0.26404473185539246]","[0.8831883668899536, 0.11766105145215988]",True,"['head', 'hair', 'floor', 'man']"
84,11226.jpg,"[0.6396687030792236, 0.31539273262023926]","[0.6396687030792236, 0.31539273262023926]",False,"['ear', 'ear', 'face']"
85,7606.jpg,"[0.7547397613525391, 0.24300718307495117]","[0.7547397613525391, 0.24300718307495117]",False,"['man', 'man', 'man', 'face', 'man', 'man', 'sign', 'graffiti', 'man']"
86,4160.jpg,"[0.7645207643508911, 0.26022449135780334]","[0.7468085885047913, 0.28394219279289246]",True,"['sky', 'building', 'building', 'sky', 'sky', 'building', 'tree', 'building', 'building', 'building', 'kite', 'building', 'sky']"
87,9092.jpg,"[0.6481648683547974, 0.39038243889808655]","[0.6694517731666565, 0.3853932321071625]",True,"['dog', 'eye', 'dog', 'eye', 'dog', 'dog', 'dog', 'dog', 'sign', 'dog', 'nose', 'sign', 'dog']"
88,1124.jpg,"[0.8375599980354309, 0.19561220705509186]","[0.7778637409210205, 0.3359512686729431]",True,"['sign', 'sign', 'head', 'bird', 'letters']"
89,9878.jpg,"[0.7864488363265991, 0.33642056584358215]","[0.7714307904243469, 0.2267906367778778]",True,[]
90,5566.jpg,"[0.2215968668460846, 0.7149063944816589]","[0.7502453923225403, 0.2292802780866623]",True,"['woman', 'girl']"
91,5921.jpg,"[0.7263520956039429, 0.24756139516830444]","[0.6458508372306824, 0.32905498147010803]",True,"['face', 'eye', 'eyes', 'eye', 'man', 'man', 'helmet', 'man', 'man', 'shirt', 'sign']"
92,5924.jpg,"[0.6709035038948059, 0.39500606060028076]","[0.7018687129020691, 0.3109131455421448]",True,['hair']
93,2054.jpg,"[0.7137308120727539, 0.31236979365348816]","[0.730487585067749, 0.3589679002761841]",True,"['television,tv', 'screen']"
94,10285.jpg,"[0.7103909850120544, 0.34700924158096313]","[0.6799137592315674, 0.3711588978767395]",True,"['tongue', 'eye', 'dog', 'eye', 'truck', 'truck']"
95,11307.jpg,"[0.6287276744842529, 0.4060693383216858]","[0.2964613735675812, 0.711643636226654]",True,"['window', 'hair', 'sign', 'shirt', 'window']"
96,10659.jpg,"[0.6993959546089172, 0.3577461540699005]","[0.6993959546089172, 0.3577461540699005]",False,"['sign', 'television,tv', 'tree', 'water', 'tree']"
97,8677.jpg,"[0.7645024061203003, 0.2696264982223511]","[0.7645024061203003, 0.2696264982223511]",False,"['window', 'window', 'window', 'window', 'building', 'window']"
98,3031.jpg,"[0.7249605655670166, 0.30232301354408264]","[0.7033993601799011, 0.30509963631629944]",True,"['man', 'face', 'head', 'man', 'hair']"
99,720.jpg,"[0.6163888573646545, 0.4420693516731262]","[0.6658754944801331, 0.37429699301719666]",True,"['sign', 'people', 'sign', 'sign', 'sign']"
100,2171.jpg,"[0.43602630496025085, 0.6029717326164246]","[0.6002912521362305, 0.4175765812397003]",True,"['curtain', 'window', 'window', 'sign', 'bucket']"
101,4156.jpg,"[0.601924479007721, 0.44906845688819885]","[0.5973660945892334, 0.5095192193984985]",True,"['statue', 'building', 'wall', 'wall', 'people', 'people']"
102,4590.jpg,"[0.8617897629737854, 0.16055132448673248]","[0.8617897629737854, 0.16055132448673248]",False,"['face', 'man', 'sign']"
103,99.jpg,"[0.699123740196228, 0.380555659532547]","[0.699123740196228, 0.380555659532547]",False,"['hair', 'hair', 'hair', 'hair', 'woman', 'woman', 'head', 'woman']"
104,8141.jpg,"[0.7665913701057434, 0.21133199334144592]","[0.7276787161827087, 0.24919791519641876]",True,"['shirt', 'shirt', 'man', 'shirt']"
105,7182.jpg,"[0.757469654083252, 0.26229169964790344]","[0.7406740188598633, 0.28311944007873535]",True,"['man', 'pants', 'wall', 'flowers', 'flowers', 'suit', 'sign']"
106,11189.jpg,"[0.8265436291694641, 0.15409305691719055]","[0.6756823062896729, 0.3440016806125641]",True,['eye']
107,4388.jpg,"[0.7004855275154114, 0.34347328543663025]","[0.8303104043006897, 0.17103205621242523]",True,['circle']
108,8976.jpg,"[0.8275576233863831, 0.19292180240154266]","[0.8275576233863831, 0.19292180240154266]",False,"['window', 'building', 'flower', 'building', 'building', 'building', 'building', 'building', 'building', 'heart', 'building', 'heart', 'brush']"
109,9776.jpg,"[0.7281991243362427, 0.27428877353668213]","[0.7281991243362427, 0.27428877353668213]",False,"['head', 'man', 'man', 'man', 'camera', 'hair', 'face', 'man']"
110,10604.jpg,"[0.6530343294143677, 0.40907761454582214]","[0.6700260043144226, 0.271602600812912]",True,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'sign', 'dog', 'head', 'dog', 'dog', 'dog', 'sign', 'dog']"
111,3953.jpg,"[0.6653454303741455, 0.28284525871276855]","[0.6809490323066711, 0.3720165193080902]",True,[]
112,9033.jpg,"[0.6535525321960449, 0.37890204787254333]","[0.772192120552063, 0.2265484780073166]",True,"['hat', 'man', 'man', 'man', 'man', 'man', 'man', 'writing', 'man', 'hat']"
113,4343.jpg,"[0.7726336121559143, 0.23742954432964325]","[0.5403178334236145, 0.503926157951355]",True,"['eyes', 'ear', 'dog', 'mouth', 'eye', 'eye', 'dog', 'face', 'face']"
114,9327.jpg,"[0.31709808111190796, 0.6701535582542419]","[0.42447441816329956, 0.5650163888931274]",True,"['hair', 'sign', 'pants', 'hair', 'pants', 'baby', 'head', 'man']"
115,2240.jpg,"[0.5150331854820251, 0.4850672781467438]","[0.6060617566108704, 0.38066720962524414]",True,"['hair', 'hair', 'hair', 'suit', 'sleeve', 'suit', 'car', 'head']"
116,2285.jpg,"[0.8884377479553223, 0.11883389204740524]","[0.8884377479553223, 0.11883389204740524]",False,"['nose', 'face', 'eyes', 'face', 'face', 'face', 'man', 'face', 'face', 'face', 'face', 'shirt', 'face', 'man', 'man', 'man', 'face', 'writing']"
117,5319.jpg,"[0.7458140850067139, 0.2573430836200714]","[0.7458140850067139, 0.2573430836200714]",False,['sign']
118,4564.jpg,"[0.576970100402832, 0.42333534359931946]","[0.5004624724388123, 0.5358555912971497]",True,"['bird', 'bird', 'sign', 'sign', 'sign']"
119,9043.jpg,"[0.7532584071159363, 0.2798028886318207]","[0.6311681270599365, 0.34707558155059814]",True,"['mouth', 'dog', 'head']"
120,4596.jpg,"[0.717660665512085, 0.27120861411094666]","[0.717660665512085, 0.27120861411094666]",False,"['building', 'building', 'building', 'building', 'writing', 'building', 'building', 'writing', 'writing', 'building', 'writing', 'writing', 'writing', 'writing', 'building', 'building']"
121,8409.jpg,"[0.652341902256012, 0.3742958903312683]","[0.652341902256012, 0.3742958903312683]",False,"['building', 'building', 'building', 'building', 'sign', 'building', 'building', 'building', 'tree', 'window', 'building', 'building']"
122,5437.jpg,"[0.5581721663475037, 0.45695409178733826]","[0.5445118546485901, 0.4982622563838959]",True,"['sign', 'sign', 'sign', 'window']"
123,1786.jpg,"[0.6291574835777283, 0.3699420690536499]","[0.7459394335746765, 0.24169199168682098]",True,"['sign', 'sign', 'frisbee', 'eye']"
124,10513.jpg,"[0.7492023706436157, 0.26526063680648804]","[0.7492023706436157, 0.26526063680648804]",False,"['sign', 'plane']"
125,8916.jpg,"[0.9269896149635315, 0.09786493331193924]","[0.9269896149635315, 0.09786493331193924]",False,"['spoon', 'spoon', 'spoon']"
126,1274.jpg,"[0.6223375201225281, 0.4154283404350281]","[0.9100179076194763, 0.0957360789179802]",True,"['hair', 'face', 'man', 'man', 'tie', 'wall', 'hair', 'building', 'building', 'woman']"
127,3852.jpg,"[0.6519615650177002, 0.39865225553512573]","[0.3903532326221466, 0.6437923312187195]",True,"['hand', 'hair', 'woman', 'woman', 'woman']"
128,9239.jpg,"[0.4294162094593048, 0.6086279153823853]","[0.4294162094593048, 0.6086279153823853]",False,"['eyes', 'eye', 'eyes', 'tie', 'eye', 'mouth', 'sign', 'hair', 'woman']"
129,8619.jpg,"[0.7309306263923645, 0.3816341161727905]","[0.7309306263923645, 0.3816341161727905]",False,"['head', 'bird', 'paw', 'bird', 'foot']"
130,10813.jpg,"[0.3831254243850708, 0.5696438550949097]","[0.6044402718544006, 0.4774629771709442]",True,"['hair', 'eyes', 'woman']"
131,3178.jpg,"[0.8655760288238525, 0.18392081558704376]","[0.8374654054641724, 0.16336290538311005]",True,"['man', 'man', 'shirt']"
132,8587.jpg,"[0.7893244028091431, 0.25481387972831726]","[0.7893244028091431, 0.25481387972831726]",False,"['bear', 'flower', 'sign']"
133,641.jpg,"[0.7083415389060974, 0.3845314085483551]","[0.7083415389060974, 0.3845314085483551]",False,"['face', 'sign', 'sign', 'sign', 'face', 'face']"
134,7047.jpg,"[0.7921920418739319, 0.2187141329050064]","[0.8422406911849976, 0.17672434449195862]",True,"['nose', 'eyes', 'eye', 'eye', 'dog', 'face', 'head', 'dog', 'bear']"
135,5905.jpg,"[0.8307186961174011, 0.1717708855867386]","[0.7081236243247986, 0.27327147126197815]",True,"['man', 'man', 'man', 'man', 'tree']"
136,494.jpg,"[0.6949305534362793, 0.26929476857185364]","[0.7273723483085632, 0.35248228907585144]",True,"['sign', 'head', 'nose', 'curtain', 'teddy bear', 'window']"
137,5340.jpg,"[0.6282343864440918, 0.459800124168396]","[0.7400080561637878, 0.23621441423892975]",True,"['eyes', 'face', 'hair', 'man', 'face', 'man', 'man', 'man', 'man', 'man', 'face', 'man', 'hair', 'head']"
138,1806.jpg,"[0.6513071656227112, 0.3871457576751709]","[0.6513071656227112, 0.3871457576751709]",False,"['eye', 'eye', 'face', 'face']"
139,2388.jpg,"[0.69576495885849, 0.2822393774986267]","[0.69576495885849, 0.2822393774986267]",False,"['face', 'woman', 'mask']"
140,8629.jpg,"[0.7980695962905884, 0.20910102128982544]","[0.5925561189651489, 0.38347354531288147]",True,"['head', 'man', 'face', 'man', 'man', 'man', 'mouth', 'eyes', 'man', 'man', 'man', 'face', 'people']"
141,1319.jpg,"[0.7867434620857239, 0.20108063519001007]","[0.8643335700035095, 0.14865846931934357]",True,"['hair', 'woman']"
142,7962.jpg,"[0.917685866355896, 0.08662141114473343]","[0.7210279107093811, 0.34189605712890625]",True,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'head', 'dog', 'dog']"
143,9404.jpg,"[0.7072407603263855, 0.37336769700050354]","[0.9254823327064514, 0.07607685774564743]",True,"['head', 'head']"
144,55.jpg,"[0.7847574949264526, 0.21060460805892944]","[0.8113788366317749, 0.20391765236854553]",True,"['eye', 'shirt', 'head', 'shirt']"
145,11022.jpg,"[0.8731317520141602, 0.13537544012069702]","[0.6388810873031616, 0.3620671331882477]",True,"['eyes', 'face', 'building', 'eye', 'sign', 'face', 'man', 'sign', 'sign', 'building']"
146,2948.jpg,"[0.5309166312217712, 0.4182511270046234]","[0.5309166312217712, 0.4182511270046234]",False,"['shirt', 'woman', 'woman', 'woman', 'girl']"
147,687.jpg,"[0.7712488174438477, 0.26620709896087646]","[0.7712488174438477, 0.26620709896087646]",False,"['face', 'book']"
148,8302.jpg,"[0.6090749502182007, 0.4019133150577545]","[0.8099623322486877, 0.18257080018520355]",True,"['dog', 'nose', 'mouth', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'tie']"
149,10218.jpg,"[0.6206279993057251, 0.3896055221557617]","[0.5694059729576111, 0.4736277163028717]",True,"['woman', 'woman', 'woman', 'woman', 'woman', 'people', 'woman', 'woman', 'people', 'woman']"
150,2682.jpg,"[0.5284484624862671, 0.5530542731285095]","[0.8396074771881104, 0.2004970908164978]",True,"['ear', 'nose', 'eye', 'nose', 'book', 'head', 'man', 'man', 'design', 'pillow']"
151,8486.jpg,"[0.944355845451355, 0.06474322080612183]","[0.7577949166297913, 0.2918511927127838]",True,[]
152,6314.jpg,"[0.8636150360107422, 0.17904099822044373]","[0.5714036226272583, 0.4790177047252655]",True,['head']
153,1146.jpg,"[0.7614301443099976, 0.28415462374687195]","[0.9307409524917603, 0.07833554595708847]",True,"['nose', 'man', 'face', 'face', 'face', 'mouth', 'man', 'man', 'man', 'face', 'glasses', 'wall', 'wall']"
154,10421.jpg,"[0.6354368925094604, 0.40092161297798157]","[0.6235500574111938, 0.39532601833343506]",True,['eye']
155,8328.jpg,"[0.8431054353713989, 0.1797952800989151]","[0.7749598622322083, 0.27301499247550964]",True,"['hair', 'woman', 'woman', 'woman']"
156,5733.jpg,"[0.8619453310966492, 0.14405766129493713]","[0.8692464232444763, 0.11794030666351318]",True,"['glove', 'woman', 'woman']"
157,226.jpg,"[0.7634608149528503, 0.23442478477954865]","[0.6715942621231079, 0.3379096984863281]",True,"['wall', 'book']"
158,4024.jpg,"[0.6475501656532288, 0.3212130069732666]","[0.3050161898136139, 0.6630859375]",True,"['hair', 'hair']"
159,4681.jpg,"[0.8176707029342651, 0.1899174004793167]","[0.9511585831642151, 0.04964586719870567]",True,"['sign', 'bird', 'sign', 'bird', 'tree', 'bird', 'tree', 'sign', 'bird']"
160,1190.jpg,"[0.4763396382331848, 0.4622880518436432]","[0.4763396382331848, 0.4622880518436432]",False,[]
161,6882.jpg,"[0.74302738904953, 0.24319133162498474]","[0.74302738904953, 0.24319133162498474]",False,"['man', 'sign']"
162,6849.jpg,"[0.7309466600418091, 0.2801041603088379]","[0.7309466600418091, 0.2801041603088379]",False,"['man', 'glasses', 'glasses', 'glasses', 'man', 'face', 'man', 'man', 'face']"
163,2889.jpg,"[0.7489233016967773, 0.30148035287857056]","[0.7489233016967773, 0.30148035287857056]",False,"['umbrella', 'sign']"
164,974.jpg,"[0.6813634037971497, 0.3217323124408722]","[0.6813634037971497, 0.3217323124408722]",False,"['hair', 'man', 'pants', 'man', 'woman', 'hair', 'woman', 'woman', 'building', 'man']"
165,2732.jpg,"[0.43024855852127075, 0.5540775656700134]","[0.43024855852127075, 0.5540775656700134]",False,"['eyes', 'eyes', 'sign', 'mouth', 'eye', 'television,tv', 'eye', 'sign']"
166,1145.jpg,"[0.7245913147926331, 0.3330000042915344]","[0.6525475382804871, 0.32030367851257324]",True,"['sign', 'hair', 'woman', 'sign', 'pants', 'people', 'people', 'woman', 'people']"
167,9494.jpg,"[0.6569504737854004, 0.32348501682281494]","[0.8056085705757141, 0.22376395761966705]",True,['sign']
168,11622.jpg,"[0.6827972531318665, 0.36990606784820557]","[0.6827972531318665, 0.36990606784820557]",False,"['window', 'eye', 'eye', 'dog', 'woman', 'wheel', 'woman', 'letters']"
